Date,Canal,Category,Subcategory,Subcategory2,Marca,Modelo,SKU,UPC,Item,URL SKU,Image,Price,Sales Price,Sales Flag,Store ID,Store Name,Store Address,Stock,UPC WM,Final Price
18/10/2022,Etiendas3b,Despensa,Enlatados,,Clemente Jacques,Duraznos en mitades Clemente Jacques 820 g ,20371,7501052477107,Duraznos en mitades Clemente Jacques 820 g ,https://www.etiendas3b.com.mx/producto/duraznos-en-mitades-clemente-jacques,https://alianza-tiendas3b.s3.amazonaws.com/prod/images/products/original/1661878166~20371-1.jpg,48.0,48.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7501052477107,48.0
18/10/2022,Etiendas3b,Energeticas,Bebidas,,Arizona,Bebida Té Arizona sabor Fresa Kiwi 680 Ml,10996,613008738822,Bebida Té Arizona sabor Fresa Kiwi 680 Ml,https://www.etiendas3b.com.mx/producto/bebida-te-fresa-kiwi-arizona-680-ml,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/10996-1.jpg,14.5,14.5,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,613008738822,14.5
18/10/2022,Etiendas3b,Bebidas,Energeticas,,Sporade,Bebida Isotónica Sporade sabor Mora,20681,7503027753803,"Bebida Isotónica Sporade sabor Mora, 625ml",https://www.etiendas3b.com.mx/producto/bebida-mora-sporade,https://alianza-tiendas3b.s3.amazonaws.com/prod/images/products/original/1665089882~20681-1.jpg,12.0,12.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7503027753803,12.0
18/10/2022,Etiendas3b,Bebidas,Energeticas,,Energy Big Burst,Bebida Energetica Energy Big Burst 473Ml,15149,7502261261884,Bebida Energetica Energy Big Burst 473Ml,https://www.etiendas3b.com.mx/producto/bebida-energetica-energy-big-burst,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/15149-2.png,13.0,13.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261261884,13.0
18/10/2022,Etiendas3b,Bebidas,Energeticas,,Energy Big Burst,Bebida Energetica Mora Energy Big Burst 473 Ml,15147,7502261261891,Bebida Energetica Mora Energy Big Burst 473 Ml,https://www.etiendas3b.com.mx/producto/bebida-energetica-mora-energy-big,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/15147-0.jpg,13.0,13.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502261261891,13.0
18/10/2022,Etiendas3b,Energeticas,Bebidas,,Arizona,Bebida Té Arizona sabor Mango 680 Ml,7590,613008738808,Bebida Té Arizona sabor Mango 680 Ml,https://www.etiendas3b.com.mx/producto/bebida-te-mango-arizona-680-ml,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/7590-0.jpg,14.5,14.5,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,613008738808,14.5
18/10/2022,Etiendas3b,Dulces,,,Laposse,Pasitas con Chocolate  Laposse 45 g,10753,717557054164,Pasitas con Chocolate  Laposse 45 g,https://www.etiendas3b.com.mx/producto/chocolate-pasitas-laposse,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/10753-0.jpg,12.0,12.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,717557054164,12.0
18/10/2022,Etiendas3b,Dulces,,,BonoBon,Chocolate en Barra BonOBon 48 gr,12130,7502230948549,Chocolate en Barra BonOBon 48 gr,https://www.etiendas3b.com.mx/producto/chocolate-barra-bonobon-48-gr,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/12130-1.png,10.0,10.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,7502230948549,10.0
18/10/2022,Etiendas3b,Dulces,,,Nucita,Dulce Patitas Nucita Trisabor 19 gr,11834,9000000337,Dulce Patitas Nucita Trisabor 19 gr,https://www.etiendas3b.com.mx/producto/dulce-patitas-nucita-19-gr,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/11834-1.png,6.0,6.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,9000000337,6.0
18/10/2022,Etiendas3b,Dulces,,,Lucky Gummies,Gomitas Lombriz Neón Lucky Gummys 96 gr,18999,744218120418,Gomitas Lombriz Neón Lucky Gummys 96 gr,https://www.etiendas3b.com.mx/producto/dulce-gomitas-lombriz-neon-lucky-gummies-96-gr,https://tiendas3b.s3.amazonaws.com/prod/images/products/original/18999-1.png,12.0,12.0,,1ff3984b-b4b7-44da-a4ec-ad99d72b0c7d,,,True,744218120418,12.0
